"";"omschrijving";"type";"periode_start";"periode_eind";"kosten"
"1";"VPS 4 [vps19710] - vps12314.xlshosting.net ";"systemen";2018-06-01;2018-07-01;64,95
"2";"Windows OS HyperV - 2008R2 Enterprise - vps12314.xlshosting.net ";"licenties";2018-06-01;2018-07-01;11
"3";"VPS CPU Cores - 1 CPU Core - vps12314.xlshosting.net ";"systemen";2018-06-01;2018-07-01;5
"4";"VPS Extra RAM - 4096 MB - vps12314.xlshosting.net ";"systemen";2018-06-01;2018-07-01;28,8
"5";"VPS Extra Space - 100 GB - vps12314.xlshosting.net ";"opslag";2018-06-01;2018-07-01;10
"6";"VPS 3 [vps15631] - vps15631.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;34,95
"7";"Windows OS HyperV - 2008R2 Enterprise - vpsxxx.public.cloudvps.com - vps15631.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;11
"8";"VPS Extra RAM - 4096 MB - vps15631.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;28,8
"9";"VPS Extra Space - 40 GB - vps15631.public.cloudvps.com ";"opslag";2018-06-01;2018-07-01;5,5
"10";"Windows RDP - 1 users - vpsxxx.public.cloudvps.com - vps15631.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;6
"11";"VPS 3 [vps16328] - vps16328.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;34,95
"12";"Windows OS HyperV - 2008R2 Web edition - vpsxxx.public.cloudvps.com - vps16328.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;6,6
"13";"VPS Extra RAM - 4096 MB - vps16328.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;28,8
"14";"VPS Extra Space - 50 GB - vps16328.public.cloudvps.com ";"opslag";2018-06-01;2018-07-01;6,5
"15";"VPS 5 [vps17501] - vps17501.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;119,95
"16";"Windows OS HyperV - 2008R2 Standard - vpsxxx.public.cloudvps.com - vps17501.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;8,75
"17";"VPS CPU Cores - 1 CPU Core - vps17501.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;5
"18";"VPS 4 [vps50319] - vps50319.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;64,95
"19";"Windows OS HyperV - Windows 2012 Standard - vpsxxx.public.cloudvps.com - vps50319.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;8,75
"20";"VPS 3 [vps52323] - vps52323.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;34,95
"21";"Windows OS HyperV - Windows 2012 Standard - vpsxxx.public.cloudvps.com - vps52323.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;8,75
"22";"VPS Extra RAM - 4096 MB - vps52323.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;28,8
"23";"VPS 1 [vps18723] - vps18723.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;10,95
"24";"Windows OS HyperV - Windows 2012 Standard - vpsxxx.public.cloudvps.com - vps18723.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;8,75
"25";"VPS Extra Space - 50 GB - vps18723.public.cloudvps.com ";"opslag";2018-06-01;2018-07-01;6,5
"26";"Virtual Private Cloud ";"overig";2018-06-01;2018-07-01;0
"27";"VPS 2 [vps52475] - vps52475.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;19,95
"28";"Sophos UTM Essential Firewall - 25 users - vps52475.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;0
"29";"Sophos UTM Network Protection - 25 users - vps52475.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;38
"30";"Sophos UTM Webserver Protection - 25 users - vps52475.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;60
"31";"VPS 1 [vps53456] - vps53456.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;10,95
"32";"Windows OS HyperV - Windows 2012 Standard - vpsxxx.public.cloudvps.com - vps53456.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;8,75
"33";"VPS Extra HDD - 100 GB - vps53456.public.cloudvps.com ";"overig";2018-06-01;2018-07-01;10
"34";"VPS 4 [vps53455] - vps53455.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;64,95
"35";"Windows OS HyperV - Windows 2012 Standard - vpsxxx.public.cloudvps.com - vps53455.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;8,75
"36";"VPS 4 [vps50520] - vps50520.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;64,95
"37";"Windows OS HyperV - Windows 2012 Standard - vpsxxx.public.cloudvps.com - vps50520.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;8,75
"38";"VPS 5 [vps54452] - vps54452.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;119,95
"39";"Windows OS HyperV - Windows 2016 Standard - vpsxxx.public.cloudvps.com - vps54452.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;8,75
"40";"VPS 4 [vps54487] - vps54487.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;64,95
"41";"Windows OS HyperV - Windows 2016 Standard - vpsxxx.public.cloudvps.com - vps54487.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;8,75
"42";"VPS 2 [vps54488] - vps54488.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;19,95
"43";"Windows OS HyperV - Windows 2016 Standard - vpsxxx.public.cloudvps.com - vps54488.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;8,75
"44";"VPS Extra HDD - 50 GB - vps54488.public.cloudvps.com ";"overig";2018-07-01;2018-08-01;6,88
"45";"VPS 4 [vps54611] - hozl.esculine.nl ";"systemen";2018-06-01;2018-07-01;64,95
"46";"Windows OS HyperV - Windows 2016 Standard - hozl.esculine.nl ";"licenties";2018-06-01;2018-07-01;8,75
"47";"VPS Extra HDD - 100 GB - hozl.esculine.nl ";"overig";2018-06-01;2018-07-01;10
"48";"VPS 5 [vps54650] - dashboard.hippoline.nl ";"systemen";2018-06-01;2018-07-01;119,95
"49";"Windows OS HyperV - Windows 2016 Standard - dashboard.hippoline.nl ";"licenties";2018-06-01;2018-07-01;8,75
"50";"VPS 1 [vps51199] - vps51199.public.cloudvps.com ";"systemen";2018-06-01;2018-07-01;10,95
"51";"Windows OS HyperV - Windows 2012 Standard - vpsxxx.public.cloudvps.com - vps51199.public.cloudvps.com ";"licenties";2018-06-01;2018-07-01;8,75
"52";"- [License] dev-dockernetwork1 - Linux (1 month) ";"licenties";2018-05-01;2018-05-31;0
"53";"- [License] sense-validexpress - Windows (1 month) ";"licenties";2018-05-01;2018-05-31;8,75
"54";"- [License] docker-front - Linux (1 month) ";"licenties";2018-05-01;2018-05-31;0
"55";"- [License] docker - Linux (1 month) ";"licenties";2018-05-01;2018-05-31;0
"56";"- [License] test-ansible - Linux (2 days 15 hours) ";"licenties";2018-05-01;2018-05-03;0
"57";"- [License] pdc - Windows (1 month) ";"licenties";2018-05-01;2018-05-31;8,75
"58";"- [License] tpscan - Windows (1 month) ";"licenties";2018-05-01;2018-05-31;8,75
"59";"- [License] ad-administration - Windows (1 month) ";"licenties";2018-05-01;2018-05-31;8,75
"60";"- [Router] VR_DEV (1 month) ";"overig";2018-05-01;2018-05-31;1
"61";"- [Router] VR_CIRCLE (1 month) ";"overig";2018-05-01;2018-05-31;1
"62";"- [Router] VR_SQUARE (1 month) ";"overig";2018-05-01;2018-05-31;1
"63";"- [Ip] 4 active resources (avg. 31 days 0 hours) ";"overig";2018-05-01;2018-05-31;4
"64";"- [Server] Small HD 8GB - sense-validexpress [uptime] (1 month) ";"systemen";2018-05-01;2018-05-31;29
"65";"- [Server] Small HD 2GB - docker-front [uptime] (1 month) ";"systemen";2018-05-01;2018-05-31;12
"66";"- [Server] Standard 1GB - dev-dockernetwork1 [uptime] (1 month) ";"systemen";2018-05-01;2018-05-31;6,95
"67";"- [Server] Small HD 2GB - docker [uptime] (1 month) ";"systemen";2018-05-01;2018-05-31;12
"68";"- [Server] Standard 1GB - test-ansible [uptime] (2 days 15 hours) ";"systemen";2018-05-01;2018-05-03;0,66
"69";"- [Server] Small HD 2GB - pdc [uptime] (1 month) ";"systemen";2018-05-01;2018-05-31;12
"70";"- [Server] Small HD 8GB - tpscan [uptime] (1 month) ";"systemen";2018-05-01;2018-05-31;29
"71";"- [Server] Small HD 2GB - ad-administration [uptime] (1 month) ";"systemen";2018-05-01;2018-05-31;12
"72";"- [Image] pfSense 2.4.2 (4 GB) (1 month) ";"opslag";2018-05-01;2018-05-31;0,3
"73";"- [Image] tpscan-daily-2018-04-09 (40 GB) (1 month) ";"opslag";2018-05-01;2018-05-31;3
"74";"- [Image] ubuntu-docker-ready (25 GB) (1 month) ";"opslag";2018-05-01;2018-05-31;1,88
"75";"- [Image] pfsense-archive (25 GB) (1 month) ";"opslag";2018-05-01;2018-05-31;1,88
"76";"- [Snapshot] ad-config (1 GB) (1 month) ";"overig";2018-05-01;2018-05-31;0,02
"77";"- [Volume] klantdata (50 GB HD) (1 month) ";"opslag";2018-05-01;2018-05-31;3,75
"78";"- [Volume] docker-test (1 GB HD) (23 days 15 hours) ";"opslag";2018-05-01;2018-05-24;0,08
"79";"- [Volume] ad-config (1 GB HD) (1 month) ";"opslag";2018-05-01;2018-05-31;0,08
"80";"- [Volume] backupdata (100 GB HD) (24 days 16 hours) ";"opslag";2018-05-07;2018-05-31;6,64
"81";"- [Volume] fileshare (100 GB HD) (15 days 14 hours) ";"opslag";2018-05-16;2018-05-31;4,19
